,0,1,2,3,4,5,6,7,8,9,10,11
0,1604448000000,26.817,28.208,26.100,27.426,67177,1604534399999,25060.00358417,7050,36291,13553.77601157,0
1,1604534400000,27.437,28.354,27.025,28.295,54470,1604620799999,19518.23055553,9488,26947,9651.74726861,0
2,1604620800000,28.306,30.099,28.204,29.904,60174,1604707199999,20413.52808743,9750,31083,10540.20694721,0
3,1604707200000,29.906,30.413,27.615,28.848,65791,1604793599999,22342.36474459,9969,33243,11291.57982212,0
4,1604793600000,28.769,29.398,28.608,29.184,61580,1604879999999,21234.23488399,9763,30212,10419.42791376,0
5,1604880000000,29.231,29.638,28.376,28.905,58871,1604966399999,20318.48576500,9532,26043,8980.27595140,0
6,1604966400000,28.792,29.243,28.593,28.929,50402,1605052799999,17401.32731706,9241,23663,8166.42716717,0
7,1605052800000,28.946,29.476,28.536,28.690,82025,1605139199999,28336.18869997,9830,38597,13335.09614180,0
8,1605139200000,28.676,29.039,27.943,28.446,142136,1605225599999,49829.90165879,10825,64714,22711.89771175,0
9,1605225600000,28.446,29.153,28.275,28.994,119284,1605311999999,41455.13638190,9825,56037,19478.01125404,0
10,1605312000000,29.017,29.017,28.050,28.715,111738,1605398399999,39243.55183990,10286,58447,20530.29437829,0
11,1605398400000,28.740,28.919,27.723,28.325,96466,1605484799999,33858.30643999,10024,43365,15222.05330687,0
12,1605484800000,28.272,28.974,28.136,28.728,90871,1605571199999,31752.03861937,9645,41709,14579.10999860,0
13,1605571200000,28.752,29.546,28.729,29.168,113701,1605657599999,38926.33762380,10215,49734,17026.18349899,0
14,1605657600000,29.205,29.445,27.897,28.808,165777,1605743999999,57553.77656730,11062,78027,27081.80130460,0
15,1605744000000,28.840,29.380,28.447,28.902,99186,1605830399999,34301.20476705,9959,42520,14720.96609490,0
16,1605830400000,28.865,30.454,28.839,30.194,123336,1605916799999,41462.85052687,10516,51859,17419.07935573,0
17,1605916800000,30.138,31.964,29.330,31.512,230031,1606003199999,74838.55650768,11596,114969,37349.35439594,0
18,1606003200000,31.513,32.351,29.776,31.109,303543,1606089599999,97852.39249019,13814,130589,42167.50371199,0
19,1606089600000,31.147,32.399,30.696,32.399,356319,1606175999999,112728.23508178,13185,160867,50821.80174335,0
20,1606176000000,32.412,37.191,32.348,35.665,1076171,1606262399999,307896.31776360,19048,507253,144860.80698004,0
21,1606262400000,35.640,37.357,32.200,32.932,713989,1606348799999,207648.95685106,19019,297111,85873.98501281,0
22,1606348800000,32.873,33.507,25.853,29.137,2072606,1606435199999,705826.46018385,36662,852395,289308.60373209,0
23,1606435200000,29.150,29.666,28.020,29.307,247600,1606521599999,85587.84771439,14442,119856,41380.06194323,0
24,1606521600000,29.359,30.661,28.737,30.103,169842,1606607999999,57079.09087279,12579,87774,29531.40261117,0
25,1606608000000,30.155,31.435,29.800,31.110,148282,1606694399999,48516.36077968,11221,64582,21130.37741445,0
26,1606694400000,31.085,33.128,30.864,33.110,311380,1606780799999,97629.72019475,14547,120349,37701.29586842,0
27,1606780800000,33.078,33.469,29.960,31.416,431884,1606867199999,135302.75747397,20303,225373,70632.77914675,0
28,1606867200000,31.382,32.183,30.700,31.562,161177,1606953599999,51215.49756877,14117,84124,26756.17475654,0
29,1606953600000,31.530,32.088,31.151,31.917,95779,1607039999999,30301.38167149,10876,42977,13591.41610370,0
30,1607040000000,31.898,32.384,29.752,29.984,189188,1607126399999,61127.86451388,12347,85738,27684.19733556,0
31,1607126400000,29.979,31.131,29.576,30.893,92075,1607212799999,30248.10546107,10865,47377,15549.88321039,0
32,1607212800000,30.824,31.372,30.080,30.700,83351,1607299199999,27283.17522972,10811,39710,13022.30508226,0
33,1607299200000,30.707,30.863,30.031,30.304,117132,1607385599999,38467.31691163,11615,46894,15422.51421872,0
34,1607385600000,30.278,30.425,28.164,28.364,141764,1607471999999,48423.91492465,11842,60149,20547.31074688,0
35,1607472000000,28.353,29.370,27.654,29.042,178898,1607558399999,62619.86298135,15870,82193,28769.36224969,0
36,1607558400000,29.028,29.135,28.180,28.417,113033,1607644799999,39469.20281316,11976,56337,19670.78275771,0
37,1607644800000,28.429,28.510,27.536,28.192,171297,1607731199999,61178.21315566,14454,77776,27785.09043746,0
38,1607731200000,28.219,29.172,28.141,29.029,111496,1607817599999,38830.88950119,11028,54377,18925.90531829,0
39,1607817600000,29.044,30.306,28.869,30.150,142587,1607903999999,47939.26560473,13990,76076,25570.36906053,0
40,1607904000000,30.138,31.108,29.601,30.922,205605,1607990399999,67949.94829714,14114,96454,31860.17279119,0
41,1607990400000,30.949,31.323,30.055,30.219,211212,1608076799999,69015.33504691,16409,95100,31064.41606202,0
42,1608076800000,30.208,31.497,29.811,31.435,254967,1608163199999,83280.04072681,17936,115973,37926.72334574,0
43,1608163200000,31.422,32.807,30.800,31.384,486479,1608249599999,152661.70216901,27626,221319,69470.22769378,0
44,1608249600000,31.366,32.328,30.739,32.058,280486,1608335999999,88799.72185379,21382,141676,44836.22851238,0
45,1608336000000,32.052,36.000,32.020,34.789,432661,1608422399999,126609.92158739,26696,201803,59206.91053404,0
46,1608422400000,34.777,36.674,33.417,35.266,640979,1608508799999,182821.49095242,36853,322861,92160.45719672,0
47,1608508800000,35.232,36.832,32.002,32.856,672311,1608595199999,198335.45954858,34669,318236,93741.34241782,0
48,1608595200000,32.903,34.550,30.861,34.064,571758,1608681599999,174418.25610786,25676,294945,89539.96881192,0
49,1608681600000,34.080,35.206,30.241,31.780,819899,1608767999999,245682.27534162,29174,369600,110730.19117442,0
50,1608768000000,31.792,33.422,31.097,33.131,502514,1608854399999,156397.63997256,24597,252742,78570.34686848,0
51,1608854400000,33.185,34.204,32.421,33.793,490269,1608940799999,147168.57869840,22571,229211,68873.27457667,0
52,1608940800000,33.786,34.777,33.041,34.316,476729,1609027199999,140677.25714858,19639,234434,69121.38504074,0
53,1609027200000,34.289,35.750,32.263,34.306,842468,1609113599999,245723.27588487,29512,379807,110747.92232320,0
54,1609113600000,34.359,37.970,33.981,37.572,869846,1609199999999,238040.98961782,40492,398244,109115.81610794,0
