price1,price2,HELPER1,HELPER2,profit1,profit2,AMOUNT
199.792,201.824,2.516603642479142,100512.7788,502.5961560282174,497.82272518867927,200
220.579,226.831,110262.8772,2.2075094187951896,499.67935319826455,500.5312763471417,200
220.579,226.831,110385.65776812,2.209622355694917,500.23575909317185,501.01036422520787,200.21
220.493,226.83,110492.92269498,2.2118296603806913,500.9171516823755,501.5086381354066,200.41
220.543,226.83,110675.83572548999,2.2160137525338843,501.6326312383517,502.45733612746614,200.79
220.555,226.831,110817.77800086002,2.217558858990156,502.24864949631467,502.8098891061786,200.93
220.601,226.831,111034.34314014002,2.2214559261793863,503.1252324462897,503.6935111635199,201.34
220.553,226.829,111085.41690246001,2.2227799289167534,503.466208737578,503.9892721168598,201.46
220.538,226.812,111162.05268588001,2.2251740265246367,503.84780792791116,504.4942928355843,201.62
220.567,226.804,111290.84419866002,2.2278227804496735,504.3652398635361,505.07700624994897,201.86
220.553,226.807,111365.001174,2.229367886905945,504.7333528609015,505.4339878285465,202.0
220.548,226.807,111453.16674366,2.2312440876028456,505.14439249942205,505.8593530658278,202.17
220.547,226.828,111536.87059872,2.2328995588059937,505.52605952690584,506.28154746839607,202.32
220.556,226.819,111657.19647411001,2.2351876043350383,506.05076985219335,506.78022402077795,202.53
